id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX514048802	2	17	141	2	DDUSACS13000701	1.88	166.9	677.77	14.5	39.11	54.01
DDSHXX518225702	2	13	183	2	DDSHXX517113604	2.2	191.85	587.96	9.78	45.65	58.23
DDSHXX517253102	2	18	173	2	DDSHXX516126204	1.65	178	636.8	7.57	45.82	59.07
DDSHXX515231213	3	13	153	1	DDSHXX513021008	1.92	187.14	604.25	11.36	39.19	55.14
DDSHXX515248905	1	11	153	1	DDSHXX514161404	1.44	191.96	591.58	15.17	37.57	53.17
DDSHXX517280104	1	17	173	2	DDSHXX516269802	1.55	168.53	673.17	10.62	48.75	59.15
DDSHXX516278006	3	12	164	2	DDSHXX515069802	1.35	173.45	655.23	16.71	45.32	55.67
DDSHXX515179103	5	16	152	1	DDUSACS13000406	1.2	198.62	572.95	13.19	46.8	57.49
DDSHXX516279601	2	12	164	1	DDSHXX515157002	1.55	225.94	502.12	17.87	40.52	53.38
DDSHXX518006109	4	15	184	1	DDSHXX515270002	1.7	173.17	654.27	13.32	42.51	55.76
DDSHXX516296508	4	11	164	2	DDSHXX514149702	1.65	179.74	630.63	8.3	49.58	60.29
DDSHXX516129405	3	15	162	1	DDSHXX514105308	1.05	162.35	701.88	11.78	40.8	55.62
DDSHXX517312801	1	13	174	1	DDSHXX516287206	1.6	201.91	561.64	14.31	46.38	56.93
DDSHXX518237109	1	12	183	1	DDSHXX517241602	1.4	193.89	585.9	11.73	44.75	57.19
DDSHXX518146003	2	18	182	1	DDSHXX517033106	1.3	175.78	646.83	15.03	46.35	56.67
DDSHXX517104407	6	12	171	1	DDSHXX514046610	1.05	200.26	569.01	13.6	43.86	56.19
DDSHXX517240114	1	12	173	2	DDSHXX516242302	1.35	166.14	684.06	12.31	45.38	57.24
DDSHXX515256706	1	11	153	2	DDSHXX514151910	1.24	186.07	611.38	16.17	43.94	55.32
DDSHXX518053404	3	16	181	2	DDSHXX516129506	1.6	209.7	540.77	12.72	43.07	56.19
DDSHXX514112507	3	18	143	1	DDUSWFD13020505	1.94	185.44	609.69	12.02	41.04	55.63
DDSHXX515261301	6	18	153	1	DDUSWFD12004205	1.72	179.47	631.19	12.45	34.43	52.89
DDSHXX517144509	5	16	172	1	DDSHXX514161404	1.65	180.48	628.05	8.34	48.55	59.87
DDSHXX515003401	3	18	154	1	DDUSWFD13004705	1.56	159.05	713.23	11.11	41.97	56.32
DDSHXX516144510	2	14	162	2	DDSHXX515041504	1.3	177.4	640.92	11.05	44.48	57.32
DDSHXX517268704	4	16	173	2	DDSHXX515202304	1.65	168.41	673.06	13.49	50.16	58.7
DDSHXX516024709	1	15	164	1	DDSHXX515005904	1.32	204.11	556.95	13.44	41.81	55.44
DDSHXX515232803	3	13	153	1	DDSHXX513019506	1.88	172.44	656	15.4	36.78	52.78
DDSHXX516069007	3	13	161	1	DDSHXX514048804	1.2	170.94	665.73	15.61	38.03	53.2
DDSHXX517274105	5	17	173	1	DDSHXX515053108	1.15	173.31	656.92	11.83	43.31	56.59
DDSHXX517056204	1	17	171	2	DDSHXX516083012	1.5	195.6	580.27	13.43	45.85	57.03
DDSHXX516063601	1	13	161	1	DDSHXX515077506	1.4	159.02	714.38	10.34	47.15	58.62
DDSHXX516222005	1	16	163	1	DDSHXX515228402	1.8	173.97	650.69	12.19	43.91	56.7
DDSHXX517305105	3	14	174	1	DDSHXX516059204	1.85	167.92	673.83	9.89	39.14	55.63
DDSHXX518141305	3	18	182	1	DDSHXX516231808	1.9	158.46	713.74	11.13	48.49	58.87
DDSHXX517229204	1	12	173	2	DDSHXX516220706	1.7	175.24	646.54	8.91	44.43	58.05
DDSHXX516032605	2	15	164	1	DDSHXX514105306	2	199.1	567.55	15.85	40.17	53.95
DDSHXX518192909	3	14	182	1	DDSHXX516225604	1.65	174.54	649.42	10.16	35.58	54.14
DDSHXX516201310	5	18	162	2	DDSHXX513011214	1.5	180.12	630.14	11.01	41.23	56.06
DDSHXX516269109	2	15	163	1	DDSHXX515163508	1.6	163.38	694.09	17.88	41.62	53.81
DDSHXX617104110	4	9	171	2	DDSHXX515042806	1.5	209.55	541.64	11.85	44.09	56.89
DDSHXX516048005	1	14	164	1	DDSHXX515069802	1.68	190.1	596.11	10.73	40.73	55.96
DDSHXX516094904	2	18	161	2	DDSHXX514153806	2.04	173.29	651.86	13.44	62.96	63.75
DDSHXX517048106	2	17	174	2	DDSHXX515228304	0.95	220.34	517.61	11.05	49.98	59.48
DDSHXX517130304	1	18	171	2	DDSHXX516118802	1.55	207.25	547.41	13.31	45.89	57.09
DDSHXX516150401	3	14	162	1	DDSHXX514095008	1.55	170.06	667.12	14.2	40.7	54.74
DDSHXX518124912	2	11	181	2	DDSHXX516287206	1.3	200.59	566.83	12.13	41.6	55.81
DDSHXX518218202	3	13	182	2	DDSHXX516276004	1.85	176.26	641.95	7.98	48.28	59.89
DDSHXX517183510	2	17	172	2	DDSHXX516054602	1.3	192.84	589.61	10.97	42.86	56.71
DDSHXX516061406	3	13	161	2	DDSHXX513009008	2.6	191.59	586.67	10.12	46.24	58.34
DDSHXX516200903	4	11	162	1	DDSHXX514046604	1.65	182.09	622.49	12.93	39.13	54.56
DDSHXX518147709	1	18	182	1	DDSHXX517142502	2	194.54	580.86	16.29	45.27	55.8
DDSHXX515198401	5	17	153	1	DDUSWFD13004709	2.08	169.16	667.53	12.58	42.59	56.05
DDSHXX618097901	5	6	181	1	DDSHXX515241408	1.8	163.32	693.12	11.21	41.92	56.26
DDSHXX516012801	2	17	164	1	DDSHXX514086910	1.96	163.03	693.37	14.86	44.09	55.84
DDSHXX516076007	3	12	161	1	DDSHXX514066404	1.76	160.31	706.38	16.92	57.83	60.52
DDSHXX515024802	1	17	154	2	DDSHXX513028808	1.88	187.01	604.89	7.85	44.64	58.5
DDSHXX517262310	5	16	173	2	DDSHXX515054102	0.95	200.31	569.37	11.83	45.36	57.4
DDSHXX515260406	1	18	153	2	DDSHXX514150406	1.44	195.33	581.38	14.14	45.88	56.79
DDSHXX515266001	5	18	154	1	DDUSWFD13020102	1.8	186.22	607.88	19.46	43.09	53.84
DDSHXX516135301	4	15	162	1	DDSHXX513012210	1.25	175.16	649.41	15.22	45.13	56.12
DDSHXX515215402	1	15	153	2	DDSHXX514092410	1.52	205.16	553.13	12.78	41.95	55.72
DDSHXX517060802	4	14	171	2	DDSHXX515004104	1.45	207.81	546.41	8.6	42.5	57.4
DDSHXX517200004	2	13	172	2	DDSHXX516099208	1.55	193.03	587.73	9.73	48.44	59.34
DDSHXX514139411	3	16	143	1	DDUSACS13001202	1	200.97	567.25	11.99	33.46	52.67
DDSHXX517254008	6	18	173	2	DDSHXX514065909	1.65	171.05	662.67	15.84	43.95	55.44
DDSHXX516216302	3	16	163	2	DDSHXX514170402	1.65	197.58	573.69	12.77	47.61	57.95
DDSHXX517117406	2	11	171	2	DDSHXX515241710	1.3	190.92	595.54	10.36	45.17	57.83
DDSHXX515248903	1	11	153	1	DDSHXX514161404	1.68	186.85	606.48	11.83	37.65	54.37
DDSHXX517072101	2	14	171	1	DDSHXX515250004	2.1	160.17	704.88	12.01	46.59	57.82
DDSHXX517076202	2	13	171	2	DDSHXX515265302	2.35	175.71	641.11	12.16	51.67	59.76
DDSHXX515231207	3	13	153	1	DDSHXX513021008	1.68	197.47	573.86	17.81	32.22	50.14
DDSHXX515117508	2	14	151	2	DDSHXX513019506	2	161.9	697.96	14.53	44.61	56.16
DDSHXX514133303	3	11	143	1	DDUSACR13061105	1.7	153.87	736.34	12.31	50.74	59.34
DDSHXX517087804	2	15	171	2	DDSHXX515261308	1.55	179.51	632	11.36	44.9	57.38
DDSHXX516069009	3	13	161	1	DDSHXX514048804	1.5	194.41	583.82	17.97	40.13	53.2
DDSHXX516121003	6	17	161	1	DDUSWFD13000608	2.15	170.56	661.64	9.6	41.58	56.69
DDSHXX618071201	3	5	181	1	DDSHXX616005704	1.8	194.68	581.47	9.36	37.22	55.06
DDSHXX515244103	3	12	153	1	DDSHXX513019908	1.84	188.05	601.75	11.55	47.04	58.15
DDSHXX516046102	2	14	164	2	DDSHXX514110208	2.04	206.83	546.15	8.07	45.34	58.7
DDSHXX516292404	3	12	164	2	DDSHXX515080604	1.55	181.8	624.04	13.54	46.83	57.38
DDSHXX516189302	2	11	162	2	DDSHXX515084106	2.3	184.47	610.94	13.11	44.53	56.62
DDSHXX514105807	3	18	143	1	DDUSWFD13021509	2.18	169.64	665.06	10.91	40.26	55.71
DDSHXX516299903	4	11	164	1	DDSHXX514133402	1.5	170.43	665.96	13.04	44.05	56.46
DDSHXX618080504	4	5	181	2	DDSHXX516067514	1.9	177.53	637.08	14.99	51.17	58.57
