ind	sire	dam
DDUCBSW11006103	DDUCBSW09005302	DDUCBSW10007007
DDUWFDM11023901	DDUWFDM10025302	DDUWFDM10023206
DDUSWFD11008501	DDUSWFD10019101	DDUSWFD10009608
DDUSWFD12005402	DDUSWFD10000501	DDUSWFD10014906
DDUSACR10022706	DDUSACR07014902	DDUSACR08002210
DDGDFC115133503	DDGDFC114187504	DDGDFC114185113
DDUSACS11016004	DDUSACS10002702	DDUSACS10006801
DDUWFDM11022107	DDUSWFD09019201	DDUWFDM09023904
DDUSWFD11016008	DDUWFDM10024402	DDUSWFD09019004
DDUSWFD10006307	DDUSWFD08012501	DDUSWFD08010507
DDJXXX114009432	DDJXXX113008001	DDJXXX113006461
DDUWFDM11023108	DDUWFDM10025302	DDUWFDM10022705
DDJXXX115005902	DDJXXX113008001	DDJXXX111006716
DDUSWFD12005805	DDUSWFD10004403	DDUSWFD09015804
DDJXXX115005037	DDJXXX114007352	DDJXXX113003042
DDUSWFD12004005	DDUSWFD10004403	DDUSWFD10000107
DDUSWFD09008206	DDUSWFD07001301	DDUSWFD08005604
DDJXXX115009595	DDSHXX112030701	DDJXXX112007171
DDUWFDM11022806	DDUSWWU09002310	DDUWFDM09021705
DDUSWFD12007407	DDUSWFD10012302	DDUSWFD10014911
DDJXXX115000106	DDJXXX111007336	DDJXXX113005945
DDUSWFD11007307	DDUWFDM10025301	DDUSWFD09015705
DDUWFDM11032106	DDUWFDM10025302	DDUWFDM08025803
DDUSWFD10022908	DDUSWFD09012302	DDUSWFD09018510
DDJXXX115009514	DDJXXX113003524	DDJXXX112006537
DDUSWFD10014907	DDUWFDM09020401	DDUSWFD09007906
DDUSACS11010904	DDUSRWG09002301	DDUSACS10007401
DDUSACS11013301	DDUSACS10010607	DDUSSTN08007403
DDUWFDM12022404	DDUWFDM10023102	DDUWFDM09026306
DDUWFDM12021604	DDUSWFD10000501	DDUWFDM10023704
DDUWFDM11022309	DDUWFDM10025301	DDUWFDM10022605
DDJXXX115009600	DDSHXX112030701	DDJXXX112007171
DDJXXX115009635	DDJXXX111007336	DDJXXX113004625
DDUSWFD12001605	DDUSSDH11020704	DDUSWFD10014204
DDUSWFD10017704	DDUSWFD09002502	DDUSWFD09011103
DDUWFDM11022109	DDUSWFD09019201	DDUWFDM09023904
DDUSWFD10014402	DDUSWFD08010902	DDUSWFD09016707
DDJXXX114009284	DDJXXX113007563	DDJXXX112008862
DDUWFDM10030206	DDUWFDM09022601	DDUWFDM09025007
DDUSACR12005107	DDUSACR10001601	DDUSACR10003306
DDJXXX114009429	DDJXXX113008001	DDJXXX113006461
DDUWFDM11032205	DDUWFDM10024402	DDUWFDM10022904
DDUSWFD11011704	DDUWFDM09024801	DDUSWFD09017307
DDUWFDM10028906	DDUWFDM09024801	DDUWFDM08025406
DDUSWFD11012706	DDUWFDM10025302	DDUSWFD10013704
DDUSWFD10021105	DDUCBSW08008104	DDUSWFD08007111
DDUWFDM10028608	DDUWFDM09023801	DDUWFDM09023208
DDUWFDM11023111	DDUWFDM10025302	DDUWFDM10022705
DDUSWFD10005709	DDUSWFD08006601	DDUSWFD06014608
DDUSACR09001806	DDUSACR07014902	DDUSACR08001910
DDJXXX115009649	DDJXXX113003254	DDJXXX114006279
DDUSACS11012402	DDUSACS10009904	DDUSSTN08000404
DDUSWFD11011309	DDUSWFD09017105	DDUSWFD08012106
DDJXXX115009520	DDJXXX113003524	DDJXXX112006537
DDUWFDM11023004	DDUSWFD09000601	DDUWFDM10022904
DDJXXX115009744	DDSHXX112030701	DDJXXX114006339
DDUSWFD11008203	DDUWFDM10025301	DDUSWFD10016103
DDUWFDM11022905	DDUSWWU09002310	DDUWFDM08025803
DDUSWFD11005508	DDUSWFD09012302	DDUSWFD09017109
DDSHXX115041010	DDSHXX113097401	DDSHXX114004502
DDUSWFD10017904	DDUSWFD09000804	DDUSWFD09018510
DDUWFDM11024309	DDUSWFD09017105	DDUWFDM09028210
DDUSWFD09014606	DDUSWFD08010902	DDUSWFD07001205
DDJXXX115009925	DDSHXX112030701	DDJXXX113005771
DDUWFDM11022606	DDUWFDM10025301	DDUWFDM10022309
DDJXXX115005081	DDSHXX112030701	DDJXXX111005583
DDUSWFD10012805	DDUSWFD08010902	DDUSWFD07008605
DDJXXX115009790	DDJXXX113003524	DDJXXX113007668
DDUSWFD10004603	DDUSWFD08004802	DDUWFDM07014804
DDJXXX115000105	DDJXXX113007563	DDJXXX113007668
DDSHXX115041708	DDSHXX113077901	DDSHXX114005106
DDUSWFD10004210	DDUSWFD09000602	DDUSWFD07008711
DDUWFDM11022504	DDUWFDM10024402	DDUWFDM09023906
DDUSWFD11011505	DDUWFDM10025004	DDUSWFD10005203
DDUWFDM11025208	DDUWFDM10024703	DDUWFDM09028408
DDUSWFD10001508	DDUSWFD08010902	DDUSWFD08007109
DDUSWFD12003806	DDUSWFD10004403	DDUSWFD09014903
DDUSWFD12005706	DDUSWFD10004403	DDUSWFD10015308
DDJXXX115009651	DDJXXX113003254	DDJXXX114006279
DDUSACR10003805	DDUSACR05005701	DDUSACR09003805
DDUSACR11071108	DDUSACR10087003	DDUSACR10003909
DDJXXX114009430	DDJXXX113008001	DDJXXX113006461
DDUSWFD10005108	DDUSWFD08010602	DDUSWFD09007502
DDUWFDM12022308	DDUWFDM11021201	DDUWFDM11021808
DDJXXX115009592	DDJXXX111007336	DDJXXX114006242
DDUWFDM12023905	DDUSWFD10000501	DDUWFDM11022308
DDUWFDM11025705	DDUWFDM10025302	DDUWFDM10024505
DDJXXX114000101	DDJXXX113008001	DDJXXX113006461
DDJXXX115009747	DDSHXX112030701	DDJXXX114006339
DDJXXX114009368	DDSHXX112030701	DDJXXX112006007
DDSHXX115035702	DDSHXX112050705	DDSHXX114040902
DDJXXX114009252	DDJXXX111007336	DDJXXX110008014
DDUSWFD12003407	DDUWFDM10025004	DDUSWFD09018907
DDJXXX115009652	DDJXXX113003254	DDJXXX114006279
DDJXXX114009289	DDSHXX112030701	DDJXXX113006710
DDUWFDM11026209	DDUWFDM10025004	DDUWFDM10023907
DDSHXX115000310	DDSHXX113032007	DDSHXX113028302
DDUSACS13016004	DDUSACS12021905	DDUSACS12040605
DDUSACS17003406	DDUSACS16009011	DDUSACS16004003
DDUSACS17003606	DDUSACS16017708	DDUSACS15008104
DDUSACR11085501	DDUCBSW09005304	DDUSACR10003805
DDUSACR11027607	DDUSACR10022706	DDUSACR10010709
DDUSACR11046310	DDUSACR10022706	DDUSACR10000207
DDUSACR11095511	DDUSACR10022706	DDUSACR10023107
DDUSACS14014202	DDUSACS13009408	DDUSACS12041203
DDUSACS13913602	DDUSACS12021905	DDUSACS12039905
DDSHXX416034803	DDJXXX115009689	DDSHXX115037504
DDUSWFD12009709	DDUSWFD10000501	DDUSWFD10021003
DDSHXX416012602	DDJXXX115009689	DDJXXX115009628
DDSHXX416022306	DDJXXX115009517	DDJXXX114008925
DDUSWFD10005607	DDUSWFD09000602	DDUSWFD09008206
DDUSACR11104408	DDUSACR10022706	DDUSACR10073410
DDUSACR11090902	DDUSACR10022706	DDUSACR10014712
DDSHXX416010504	DDJXXX115009513	DDJXXX115009592
DDGXRX616075703	DDGXRX614070002	DDGXRX613059908
DDUSWFD13001502	DDUSWFD11017103	DDUSWFD12004902
DDUSWFD13003704	DDUSWFD11011602	DDUSWFD12003307
DDUSACR12028604	DDUCBSW11000405	DDUSACR11001905
DDUSACS12020011	DDUCBSW11007102	DDUSACS11004803
DDUSWFD13001306	DDUSWFD11017103	DDUSWFD12001507
DDUSWFD12021306	DDUWFDM11021701	DDUSWFD12002308
DDUSWFD12023003	DDUSWFD11011602	DDUSWFD11007808
DDUSWFD13004602	DDUSWFD11017103	DDUSWFD11011206
DDUSACS13001208	DDUSACS12005111	DDUSACS11013002
DDUSACS13001207	DDUSACS12005111	DDUSACS11013002
DDUSWFD13000501	DDUSWFD11017103	DDUSWFD10000707
DDUSACS12020009	DDUCBSW11007102	DDUSACS11004803
DDUSWFD13004002	DDUSWFD11007801	DDUSWFD11009308
DDUSWFD12028301	DDUWFDM11028501	DDUWFDM11031910
DDUSACS14012709	DDUSACS13009408	DDUSACS13015402
DDUSWFD12003302	DDUWFDM11022301	DDUWFDM10026206
DDUSWFD13003902	DDUSWFD11017103	DDUSWFD11008206
DDUSWFD12020803	DDUWFDM11027901	DDUSWFD10021003
DDUSWFD12022702	DDUSWFD11017103	DDUSWFD09018808
DDUSWFD12020702	DDUWFDM11021701	DDUSWFD10008205
DDUSACS12021409	DDUCBSW11007201	DDUSACS11024101
DDUSWFD12026802	DDUSWFD11017103	DDUSWFD11007504
DDUSACS15008306	DDUSACS13009408	DDUSACS13015402
DDUSACS15008013	DDUSACS13009512	DDUSACS13013602
DDUSACS14010804	DDUSACS13009408	DDUSACS13016207
DDUSWFD13004102	DDUSWFD11011602	DDUSWFD11008205
DDUSACS13000401	DDUSACS12005111	DDUSACS11016004
DDUSWFD13021907	DDUWFDM11030702	DDUWFDM11022107
DDUSWFD13021905	DDUWFDM11030702	DDUWFDM11022107
DDUSWFD13006505	DDUWFDM10024705	DDUSWFD11016008
DDUSWFD13004709	DDUWFDM11021701	DDUSWFD10006307
DDSHXX416030504	DDJXXX115009689	DDJXXX114009432
DDUSWFD13021206	DDUWFDM11028501	DDUWFDM11023108
DDSHXX417039302	DDGDFC115134603	DDJXXX115005902
DDUSWFD13002408	DDUSWFD11012301	DDUSWFD12005805
DDSHXX417064802	DDGDFC115133504	DDJXXX115005037
DDUSWFD13000305	DDUSWFD11017102	DDUSWFD12004005
DDUSWFD12023205	DDUSWFD11011602	DDUSWFD09008206
DDSHXX417054902	DDGDFC115134603	DDJXXX115009595
DDUSWFD13004105	DDUSWFD11011602	DDUSWFD11008205
DDUSWFD13021705	DDUWFDM11030702	DDUWFDM11022806
DDUSWFD13003806	DDUSWFD11011602	DDUSWFD12007407
DDUSWFD13000906	DDUSWFD11019603	DDUSWFD11007307
DDUSACS13000406	DDUSACS12005111	DDUSACS11016004
DDUSWFD13003909	DDUSWFD11017103	DDUSWFD11008206
DDUSWFD13022006	DDUWFDM11030804	DDUWFDM11032106
DDUSWFD13060010	DDUISUB11010203	DDUSWFD10022908
DDUSWFD12022807	DDUSWFD11007801	DDUSWFD10014907
DDSHXX417054904	DDGDFC115134603	DDJXXX115009595
DDUSACS13001401	DDUSACS12005111	DDUSACS11010904
DDUSACS13000706	DDUSACS12005111	DDUSACS11013301
DDUSWFD13022307	DDUWFDM11027901	DDUWFDM12022404
DDUSWFD13020005	DDUWFDM11030804	DDUWFDM12021604
DDUSWFD13020506	DDUWFDM11028501	DDUWFDM11022309
DDSHXX416033202	DDJXXX115009605	DDJXXX115009600
DDUSWFD12023005	DDUSWFD11011602	DDUSWFD11007808
DDUSWFD13000905	DDUSWFD11019603	DDUSWFD11007307
DDUSWFD12022804	DDUSWFD11007801	DDUSWFD10014907
DDUSWFD13007106	DDUSWFD11011602	DDUSWFD12001605
DDUSWFD13002409	DDUSWFD11012301	DDUSWFD12005805
DDUSWFD12021905	DDUSWFD11017103	DDUSWFD10017704
DDUSWFD13020304	DDUSWFD11017103	DDUWFDM11022109
DDUSACS13000405	DDUSACS12005111	DDUSACS11016004
DDUSWFD13006205	DDUISUB11010203	DDUSWFD10014402
DDUSWFD13002407	DDUSWFD11012301	DDUSWFD12005805
DDUSWFD12004205	DDUWFDM11021703	DDUWFDM10030206
DDUSACR13061105	DDUSACR11090402	DDUSACR12005107
DDSHXX416030502	DDJXXX115009689	DDJXXX114009432
DDUSWFD13020102	DDUWFDM11030702	DDUWFDM11032205
DDUSWFD13005104	DDUSWFD11017103	DDUSWFD11011704
DDUSWFD13020606	DDUWFDM11030702	DDUWFDM10028906
DDUSWFD13001006	DDUSWFD11017103	DDUSWFD11012706
DDUSWFD13000707	DDUWFDM11030702	DDUSWFD10021105
DDUSWFD12030105	DDUSWFD11007801	DDUWFDM10028608
DDUSWFD13020504	DDUWFDM11028501	DDUWFDM11022309
DDUSWFD13021809	DDUWFDM11030702	DDUWFDM11023111
DDUSWFD13060011	DDUISUB11010203	DDUSWFD10022908
DDUSWFD12022805	DDUSWFD11007801	DDUSWFD10014907
DDUSWFD12023207	DDUSWFD11011602	DDUSWFD09008206
DDUSWFD13002307	DDUSWFD11012301	DDUSWFD10005709
DDUSWFD12030106	DDUSWFD11007801	DDUWFDM10028608
DDUSWFD12022803	DDUSWFD11007801	DDUSWFD10014907
DDUSACS12022403	DDUSACS11004511	DDUSACS11012402
DDUSWFD12026809	DDUSWFD11017103	DDUSWFD11007504
DDUSWFD12022907	DDUSWFD11017103	DDUSWFD11011309
DDUSWFD13021805	DDUWFDM11030702	DDUWFDM11023111
DDUSWFD13004006	DDUSWFD11007801	DDUSWFD11009308
